vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
1005587,0,504,0,1
1005588,0,500,0,1
1005589,0,499,0,1
1005590,0,499,0,1
1005591,0,493,0,1
1005592,0,498,0,1
1005593,0,497,0,1
1005594,0,502,0,1
1005595,0,501,0,1
1005596,0,493,0,1
1005597,0,502,0,1
1005598,0,497,0,1
1005599,0,499,0,1
1005600,0,494,0,1
1005601,0,500,0,1
1005602,0,502,0,1
1005603,0,498,0,1
1005604,0,505,0,1
1005605,0,499,0,1
1005606,0,497,0,1
1005607,0,492,0,1
1005608,0,493,0,1
1005609,0,237,0,1
1005705,0,142,0,1
1005706,0,497,0,1
1005707,0,405,0,1
1005850,0,339,0,1
1005851,0,487,0,1
1005852,0,496,0,1
1005853,0,500,0,1
1005854,0,495,0,1
1005855,0,492,0,1
1005856,0,92,0,1
1005880,0,312,0,1
1005881,0,12,0,1
10059,0,291,0,1
1005902,0,87,0,1
1006006,0,99,0,1
1006007,0,14,0,1
1006119,0,1,0,1
1006136,0,0,0,1
1006164,0,275,0,1
1006165,0,492,0,1
1006166,0,140,0,1
1006339,0,210,0,1
1006340,0,497,0,1
1006341,0,266,0,1
1006342,0,223,0,1
1006343,0,501,0,1
1006344,0,498,0,1
1006345,0,496,0,1
1006346,0,503,0,1
1006347,0,502,0,1
1006348,0,502,0,1
1006349,0,504,0,1
1006350,0,499,0,1
1006351,0,502,0,1
1006352,0,500,0,1
1006353,0,498,0,1
1006354,0,498,0,1
1006355,0,502,0,1
1006356,0,505,0,1
1006357,0,507,0,1
1006358,0,502,0,1
1006359,0,502,0,1
1006360,0,145,0,1
1006386,0,392,0,1
1006387,0,492,0,1
1006388,0,39,0,1
1006394,0,205,0,1
1006395,0,94,0,1
1006425,0,289,0,1
1006426,0,21,0,1
100652,0,377,0,1
100653,0,497,0,1
100654,0,494,0,1
100655,0,500,0,1
100656,0,495,0,1
100657,0,492,0,1
100658,0,490,0,1
1006584,0,284,0,1
100659,0,498,0,1
1006596,0,90,0,1
100660,0,497,0,1
100661,0,499,0,1
100662,0,495,0,1
100663,0,498,0,1
100664,0,492,0,1
100665,0,498,0,1
100666,0,499,0,1
100667,0,497,0,1
100668,0,499,0,1
100669,0,498,0,1
1006694,0,0,0,1
1006695,0,296,0,1
100670,0,5,0,1
1006758,0,0,0,1
1006824,0,334,0,1
1006836,0,94,0,1
1006874,0,307,0,1
1006944,0,260,0,1
1006945,0,489,2,1
1006946,0,491,0,1
1006947,0,494,0,1
1006948,0,499,0,1
1006949,0,496,0,1
1006950,0,498,0,1
1006951,0,492,0,1
1006952,0,496,0,1
1006953,0,496,0,1
1006954,0,497,0,1
1006955,0,493,0,1
1006956,0,500,0,1
1006957,0,497,0,1
1006958,0,500,0,1
1006959,0,502,0,1
1006960,0,488,0,1
1006961,0,503,0,1
1006962,0,27,0,1
1006999,0,37,0,1
1007000,0,500,0,1
1007001,0,503,0,1
1007002,0,500,0,1
1007003,0,498,0,1
1007004,0,489,0,1
1007005,0,498,0,1
1007006,0,499,0,1
1007007,0,498,0,1
1007008,0,494,0,1
1007009,0,498,0,1
1007010,0,501,0,1
1007011,0,496,0,1
1007012,0,490,0,1
1007013,0,503,0,1
1007014,0,490,0,1
1007015,0,493,0,1
1007016,0,499,0,1
1007017,0,298,0,1
1007050,0,282,0,1
1007108,0,24,0,1
1007128,0,298,0,1
1007206,0,218,0,1
