vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
209902,0,821,0,3
209903,0,785,0,3
209904,0,821,0,4
209905,0,840,0,3
209906,0,799,0,3
209907,0,818,0,3
209908,0,823,0,3
209909,0,820,0,3
209910,0,816,0,3
209911,0,827,0,3
209912,0,822,0,3
209913,0,821,0,3
209914,0,821,0,3
209915,0,831,0,3
209916,0,836,0,3
209917,0,809,0,3
209918,0,851,0,3
209919,0,820,0,3
209920,0,845,0,3
209921,0,806,0,3
209922,0,818,0,3
209923,0,815,0,3
209924,0,835,0,3
209925,0,834,0,4
209926,0,804,0,3
209927,0,825,0,3
209928,0,796,0,3
209929,0,801,0,3
209930,0,821,0,3
209931,0,828,0,3
209932,0,816,0,3
209933,0,818,0,3
209934,0,779,0,3
209935,0,804,0,3
209936,0,850,0,3
209937,0,796,0,3
209938,0,831,0,3
209939,0,824,0,3
209940,0,796,0,3
209941,0,822,0,3
209942,0,822,0,3
209943,0,828,0,3
209944,0,810,0,3
209945,0,819,0,3
209946,0,837,0,4
209947,0,826,0,3
209948,0,795,0,3
209949,0,839,0,3
209950,0,816,0,3
209951,0,799,0,3
209952,0,808,0,4
209953,0,805,0,4
209954,0,809,0,3
209955,0,813,0,3
209956,0,822,0,3
209957,0,808,0,3
209958,0,797,0,3
209959,0,841,0,3
209960,0,817,0,3
209961,0,791,0,3
209962,0,828,0,3
209963,0,809,0,3
209964,0,803,0,3
209965,0,806,0,3
209966,0,830,1,4
209967,0,825,0,4
209968,0,827,0,3
209969,0,814,0,4
209970,0,795,0,3
209971,0,789,1,4
209972,0,802,0,3
209973,0,858,0,3
209974,0,820,0,3
209975,0,828,0,3
209976,0,834,0,3
209977,0,821,0,4
209978,0,824,0,3
209979,0,811,0,3
209980,0,795,0,3
209981,0,829,0,3
209982,0,818,0,3
