cycle      , unique_vpns, max_counter, mean_counter   , median_counter, std_counter        , approx_ws_ge_1, approx_ws_ge_4, approx_ws_ge_16, approx_ws_ge_32, common_vpns, new_vpns, pages_accessed_flag
 9699330057,        4096,         103, 10.5576171875  ,           10.0, 10.125149525609713 ,           2804,           2750,            1049,             134,        3029,     1067,                1888
 9709330202,        4096,          91, 10.845703125   ,           11.0,  9.967261893913756 ,           2869,           2801,            1080,             133,        3073,     1023,                1933
 9719330402,        4096,         124, 10.6953125     ,           11.0, 10.011611300876785 ,           2849,           2789,            1068,             138,        3180,      916,                1982
 9729330418,        4096,         624, 10.9755859375  ,           11.0, 14.187651074651232 ,           2858,           2805,            1059,             141,        3178,      918,                1988
 9739330439,        4096,         104, 10.70263671875 ,           11.0, 10.04236401844527  ,           2853,           2796,            1045,             132,        3149,      947,                1958
 9749330594,        4096,         126, 10.5712890625  ,           11.0, 10.01233594095643  ,           2834,           2779,            1035,             119,        3153,      943,                1974
 9759330934,        4096,         136, 10.843017578125,           11.0, 10.214090827924787 ,           2849,           2795,            1064,             134,        3147,      949,                1967
 9769331103,        4096,         112, 10.913818359375,           11.0, 10.23405984582581  ,           2838,           2788,            1128,             128,        3122,      974,                1929
 9779331868,        4096,         119, 11.1142578125  ,           11.0, 10.332397085250001 ,           2856,           2810,            1125,             144,        3130,      966,                1941
 9789557323,        4096,         113, 10.846435546875,           10.0,  9.956477653046353 ,           2968,           2909,            1030,             135,        3130,      966,                2013
 9799557808,        4096,          78, 10.33544921875 ,           10.0,  9.472605093591731 ,           2847,           2787,             972,             112,        3129,      967,                2009
 9809557931,        4096,         163, 10.24169921875 ,           10.0,  9.801231559421787 ,           2840,           2786,             960,              97,        3157,      939,                1974
 9819557973,        4096,         114, 10.45068359375 ,           10.0,  9.985585779553675 ,           2855,           2800,             940,             126,        3133,      963,                1957
 9829558053,        4096,         108, 10.24755859375 ,           10.0,  9.443977697064968 ,           2862,           2809,             976,              95,        3158,      938,                1983
 9839558481,        4096,         119, 10.311279296875,           10.0,  9.572733990804926 ,           2854,           2804,             976,             116,        3151,      945,                1985
 9849558630,        4096,         123, 10.583740234375,           10.0,  9.867274434242052 ,           2870,           2819,            1002,             124,        3166,      930,                2001
 9859558649,        4096,         128, 10.77880859375 ,           11.0, 10.145951516457249 ,           2867,           2820,            1041,             126,        3154,      942,                1978
 9869558716,        4096,         120, 10.6171875     ,           11.0,  9.802539605369812 ,           2847,           2797,            1043,             109,        3157,      939,                1987
 9879558864,        4096,         104, 10.111572265625,           10.0,  9.569391045877387 ,           2875,           2814,             933,             110,        3080,     1016,                1964
 9889559113,        4096,          76,  9.91796875    ,           10.0,  9.221483142248509 ,           2853,           2800,             863,              93,        3143,      953,                1962
 9899559245,        4096,          95,  9.839599609375,           10.0,  9.201169902466878 ,           2827,           2766,             891,              91,        3109,      987,                1943
 9909559313,        4096,         119,  9.95166015625 ,           10.0,  9.48719877536337  ,           2874,           2813,             859,              87,        3142,      954,                1976
 9919560099,        4096,          84, 10.15087890625 ,           10.0,  9.198796690635618 ,           2915,           2858,             900,             111,        3214,      882,                2052
